başvuru_metni,öncelik_skoru
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
Tatil yapmak için yurtta kalmak istiyorum.,1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
Sadece dinlenmek için sessiz bir yer arıyorum.,1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
"Kardeşimle gezmeye geldim, konaklayacak bir yere ihtiyacım var.",1
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",1
Yaz tatilinde arkadaşlarımla burada kalmayı planlıyoruz.,1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
Tatil yapmak için yurtta kalmak istiyorum.,1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
"Şehirdeki restoranları keşfetmek için buradayım, konaklama ihtiyacım var.",1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
"Yeni insanlarla tanışmak için buradayım, konaklama istiyorum.",1
"Arkadaşlarımla şehir turu yapacağız, yurtta bir gece kalmak istiyorum.",1
"Yeni yerler keşfetmek için geldim, konaklama istiyorum.",1
"Üniversiteyi gezmek için geldim, burada kalabilir miyim?",1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
Bir hafta sonu kaçamağı yapmak istiyorum.,1
"Şehirdeki müzeleri ziyaret etmek istiyorum, bir gece yurtta kalabilir miyim?",1
"Kültürel gezi için şehirdeyim, bir gece yurtta kalabilir miyim?",1
